page,paragraph,sentence,issue_type,original,replacement,confidence,agreement_count,source_agents,reason,protected_reason
1,8,14,grammar,state of the art,state-of-the-art,0.95,2,languagetool|llm,hyphenation required for compound adjective,None
1,9,18,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,9,18,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,15,36,grammar,sequencealigned,sequence-aligned,0.80,1,languagetool|llm,The term should be hyphenated.,None
1,16,38,spelling,sequencealigned,sequence aligned,0.78,1,languagetool,Possible spelling mistake found.,None
1,18,43,grammar,( ,(,0.73,1,languagetool,Don’t put a space after the opening parenthesis.,None
1,18,43,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,18,43,grammar, ),),0.73,1,languagetool,Don’t put a space before the closing parenthesis.,None
1,18,44,grammar,( ,(,0.73,1,languagetool,Don’t put a space after the opening parenthesis.,None
1,18,44,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,18,44,grammar, ),),0.73,1,languagetool,Don’t put a space before the closing parenthesis.,None
1,18,45,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,18,45,grammar,( ,(,0.73,1,languagetool,Don’t put a space after the opening parenthesis.,None
1,18,45,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,18,45,grammar, ),),0.73,1,languagetool,Don’t put a space before the closing parenthesis.,None
1,21,54,grammar,( ,(,0.73,1,languagetool,Don’t put a space after the opening parenthesis.,None
1,21,54,grammar,( ,(,0.73,1,languagetool,Don’t put a space after the opening parenthesis.,None
1,21,54,grammar, ),),0.73,1,languagetool,Don’t put a space before the closing parenthesis.,None
1,21,54,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,21,54,grammar,( ,(,0.73,1,languagetool,Don’t put a space after the opening parenthesis.,None
1,21,54,grammar, ),),0.73,1,languagetool,Don’t put a space before the closing parenthesis.,None
1,21,55,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,22,60,grammar,fact,the fact,0.80,1,llm,Missing article before 'fact',None
1,22,60,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,26,65,punctuation,of,Of,0.75,1,languagetool,This sentence does not start with an uppercase letter.,None
1,28,69,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,28,69,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,28,70,grammar," ,",",",0.73,1,languagetool,"Put a space after the comma, but not before the comma.",None
1,29,71,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,29,72,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
1,30,76,grammar, .,.,0.73,1,languagetool,Don’t put a space before the full stop.,None
