page,paragraph,sentence,issue_type,original,replacement,confidence,agreement_count,source_agents,reason,protected_reason
1,3,4,spelling,there,their,0.80,1,llm,Incorrect possessive pronoun usage,None
1,6,7,spelling,Ltd.,Ltd,0.80,1,llm,Incorrect abbreviation format,None
1,6,7,grammar,helps,help,0.95,2,languagetool|llm,Subject-verb agreement error,None
1,6,9,spelling,accross,across,0.95,2,languagetool|llm,Spelling mistake,None
1,8,11,spelling,there,their,0.95,2,languagetool|llm,Incorrect possessive pronoun usage,None
1,8,11,spelling,everyday,every day,0.78,1,languagetool,‘Everyday’ is an adjective. Did you mean “every day”?,None
1,11,14,spelling,-every,Every,0.80,1,llm,Capitalization error at the beginning of a sentence.,None
1,19,23,spelling,effect,affect,0.95,2,languagetool|llm,Incorrect verb usage,None
1,23,28,grammar,full time,full-time,0.73,1,languagetool,“Full time” is usually hyphenated in this context.,None
1,23,28,grammar,-this,This,0.80,1,llm,Capitalization error at the beginning of a sentence.,None
1,25,31,grammar,-the,- the,0.80,1,llm,Missing space after hyphen,None
1,25,31,spelling,judgement,judgment,0.78,1,languagetool,Possible spelling mistake found.,None
1,28,37,spelling,atleast,at least,0.95,2,languagetool|llm,missing space between words,None
1,35,44,grammar,-the,the,0.80,1,llm,Extra hyphen before 'the',None
1,44,54,spelling,runbook,run book,0.78,1,languagetool,Possible spelling mistake found.,None
1,45,55,spelling,runbook,run book,0.78,1,languagetool,Possible spelling mistake found.,None
1,45,55,grammar,-the,the,0.80,1,llm,Extra hyphen before 'the',None
1,56,68,grammar,-the,The,0.80,1,llm,Capitalization error at the beginning of a sentence.,None
1,58,70,spelling,Majeure,Mature,0.78,1,languagetool,Possible spelling mistake found.,None
1,58,70,grammar,a formal definition,A formal definition,0.80,1,llm,Sentence should start with a capital letter.,None
1,60,73,grammar,-See,See,0.80,1,llm,Unnecessary hyphen at the beginning of the sentence.,None
1,62,78,grammar,-Reported,Reported,0.80,1,llm,Unnecessary hyphen at the beginning of the sentence.,None
1,63,80,grammar,-Appendix,Appendix,0.80,1,llm,Unnecessary hyphen at the beginning of the sentence.,None
1,65,82,grammar,A -Organization,A - Organization,0.80,1,llm,Missing space after hyphen,None
